Name,Estado,Cidade,Segmento,Público Alvo,Modelo de Receita,Ano de Fundação,Tamanho,Mais Informação,Momento
Startup Farm,SP,SÃO PAULO,Outros,B2B,Outros,2011,21-50,sbase.me/s/startup-farm,Tração
Profes,SP,SÃO PAULO,Educação,B2C,SaaS,2011,6-10,sbase.me/s/profes,Tração
Alliance Consórcio Empresarial,SP,SÃO JOSÉ DOS CAMPOS,Construção Civil,B2B2C,Marketplace,2018,6-10,sbase.me/s/alliance-consorcio-empresarial,Operação
BFOR2B,SP,SÃO PAULO,E-commerce,B2B,Marketplace,2017,6-10,sbase.me/s/bfor2b,Operação
ZAKKA Gestão de Conflitos,SP,SÃO PAULO,Direito,B2B2C,Outros,2017,1-5,sbase.me/s/zakka-gestao-de-conflitos,Ideação
Sóliph Serviços Educacionais,SP,SÃO PAULO,Educação,B2B2C,Licenciamento,2014,6-10,sbase.me/s/soliph-servicos-educacionais,Operação
Celebrar,SP,SÃO PAULO,Eventos e Turismo,B2B,Marketplace,2015,6-10,sbase.me/s/celebrar,Tração
Peerdustry Manufatura Compartilhada,SP,SÃO PAULO,Indústria,B2B,Marketplace,2016,6-10,sbase.me/s/peerdustry-manufatura-compartilhada,Tração
COSOL,SP,SÃO PAULO,Energia,B2B2C,Marketplace,2016,6-10,sbase.me/s/cosol,Tração
Educaz,SP,SÃO PAULO,Educação,B2B,SaaS,2017,11-20,sbase.me/s/educaz,Tração
Contador Bom,SP,SÃO PAULO,Finanças,B2B,Marketplace,2019,1-5,sbase.me/s/contador-bom,Tração
Schoolastic,SP,SÃO PAULO,Educação,B2B,SaaS,2015,1-5,sbase.me/s/schoolastic,Operação
3DParade,SP,SÃO PAULO,Eventos e Turismo,B2B,Licenciamento,2020,1-5,sbase.me/s/3dparade,Tração
Bravus Music,SP,RIBEIRÃO PIRES,Educação,B2B2C,Marketplace,2018,6-10,sbase.me/s/bravus-music,Operação
Astana Química,SP,VÁRZEA PAULISTA,Indústria,B2B,Outros,2015,1-5,sbase.me/s/astana-quimica,Tração
Tapertoo,SP,POÁ,Transportes,B2B2C,API,2020,1-5,sbase.me/s/tapertoo,Ideação
SelfCred,SP,JUNDIAÍ,Finanças,B2B2C,Marketplace,2020,6-10,sbase.me/s/selfcred,Operação
Solda Fria Produções,SP,SÃO PAULO,Video,B2B2C,Outros,2011,1-5,sbase.me/s/solda-fria-producoes,Operação
Decript,SP,SÃO PAULO,Segurança e Defesa,B2B2C,SaaS,2019,11-20,sbase.me/s/decript,Tração
GestãoMax,SP,SÃO PAULO,Gestão,B2B,SaaS,2018,6-10,sbase.me/s/gestaomax,Tração
climby,SP,SÃO PAULO,Recursos Humanos,B2B,SaaS,2020,1-5,sbase.me/s/climby,Operação
VISOR2B,SP,SÃO PAULO,TIC e Telecom,B2B,SaaS,2019,6-10,sbase.me/s/visor2b,Tração
Rota das Oficinas,SP,SÃO JOSÉ DO RIO PRETO,CRM,B2B,SaaS,2016,1-5,sbase.me/s/rota-das-oficinas,Tração
Hi! Healthcare Intelligence,SP,SÃO JOSÉ DOS CAMPOS,Saúde e Bem-estar,B2B,API,2019,1-5,sbase.me/s/hi-healthcare-intelligence,Operação
Fincatch,SP,CAMPINAS,Finanças,B2B2C,Marketplace,2020,1-5,sbase.me/s/fincatch,Operação
VoVs,SP,GUARUJÁ,Saúde e Bem-estar,P2P,Marketplace,2018,6-10,sbase.me/s/vovs-1614723721810,Operação
n2,SP,SÃO PAULO,Finanças,B2B2C,Marketplace,2019,11-20,sbase.me/s/n2-,Tração
LindolfoID,SP,MARÍLIA,Moda e Beleza,B2S,E-commerce,2018,1-5,sbase.me/s/lindolfoid,Operação
c2Lab,SP,SÃO CARLOS,Indústria,B2B2C,Venda de dados,2020,1-5,sbase.me/s/c2lab,Operação
RIS3D,SP,SÃO PAULO,Indústria,B2B,SaaS,2021,1-5,sbase.me/s/ris3d,Operação
Virtual Flashbank,SP,SANTOS,Finanças,B2C,Consumer,2020,6-10,sbase.me/s/virtual-flashbank,Ideação
Grupo Lindolfo,SP,MARÍLIA,Moda e Beleza,B2B,Outros,2014,1-5,sbase.me/s/grupo-lindolfo-,Operação
FoxManager,SP,SÃO PAULO,Desenvolvimento de Software,B2B,SaaS,(Não informado),11-20,sbase.me/s/foxmanager,Tração
7waves,SP,SOROCABA,Recursos Humanos,B2B,SaaS,2017,11-20,sbase.me/s/7waves-1598018838819,Tração
DC More Lives,SP,SÃO PAULO,Saúde e Bem-estar,B2B2C,Marketplace,2019,1-5,sbase.me/s/dc-more-lives,Tração
Onde Pinhal,SP,ESPÍRITO SANTO DO PINHAL,Vendas e Marketing,B2B,Marketplace,2020,1-5,sbase.me/s/onde-pinhal,Ideação
